speaker_type,cum_dur,voc_count,turns,cds_dur,annotation_filename,recording_filename,filename,child_id,date_iso,min_duration
CHI,7266.802000000745,3771,2249,6463.9690000006285,vtc/1_CW3_CH3_AJ01_AJ18_190609_0_0.csv,1_CW3_CH3_AJ01_AJ18_190609.WAV,1_CW3_CH3_AJ01_AJ18_190609.WAV,C01,2019-06-09,62897.922208
FEM,6011.732000000771,3638,592,1334.1060000002778,vtc/1_CW3_CH3_AJ01_AJ18_190609_0_0.csv,1_CW3_CH3_AJ01_AJ18_190609.WAV,1_CW3_CH3_AJ01_AJ18_190609.WAV,C01,2019-06-09,62897.922208
MAL,3827.2130000007382,1841,270,989.2930000003378,vtc/1_CW3_CH3_AJ01_AJ18_190609_0_0.csv,1_CW3_CH3_AJ01_AJ18_190609.WAV,1_CW3_CH3_AJ01_AJ18_190609.WAV,C01,2019-06-09,62897.922208
OCH,10117.268000002092,5394,1364,5983.376000000909,vtc/1_CW3_CH3_AJ01_AJ18_190609_0_0.csv,1_CW3_CH3_AJ01_AJ18_190609.WAV,1_CW3_CH3_AJ01_AJ18_190609.WAV,C01,2019-06-09,62897.922208
CHI,7782.9060000007385,4274,2519,6966.923000000796,vtc/1_CW2_CH2_AJ01_AJ02_190609_0_0.csv,1_CW2_CH2_AJ01_AJ02_190609.WAV,1_CW2_CH2_AJ01_AJ02_190609.WAV,C02,2019-06-09,50312.818562
FEM,4032.5540000006717,2486,332,967.4840000001847,vtc/1_CW2_CH2_AJ01_AJ02_190609_0_0.csv,1_CW2_CH2_AJ01_AJ02_190609.WAV,1_CW2_CH2_AJ01_AJ02_190609.WAV,C02,2019-06-09,50312.818562
MAL,3452.423000000842,2370,402,1089.067000000181,vtc/1_CW2_CH2_AJ01_AJ02_190609_0_0.csv,1_CW2_CH2_AJ01_AJ02_190609.WAV,1_CW2_CH2_AJ01_AJ02_190609.WAV,C02,2019-06-09,50312.818562
OCH,10709.523000002053,6335,1676,6616.9630000011575,vtc/1_CW2_CH2_AJ01_AJ02_190609_0_0.csv,1_CW2_CH2_AJ01_AJ02_190609.WAV,1_CW2_CH2_AJ01_AJ02_190609.WAV,C02,2019-06-09,50312.818562
CHI,6855.50900000098,4311,2693,6186.319000000928,vtc/2_CW2_CH2_AJ01_AJ09_190609_0_0.csv,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ09_190609.WAV,C03,2019-06-09,62787.835771000005
FEM,4262.703000000509,2481,380,999.1940000001299,vtc/2_CW2_CH2_AJ01_AJ09_190609_0_0.csv,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ09_190609.WAV,C03,2019-06-09,62787.835771000005
MAL,4068.508000000689,2714,444,1251.448000000145,vtc/2_CW2_CH2_AJ01_AJ09_190609_0_0.csv,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ09_190609.WAV,C03,2019-06-09,62787.835771000005
OCH,10632.954000001986,6303,1539,6592.928000001052,vtc/2_CW2_CH2_AJ01_AJ09_190609_0_0.csv,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ09_190609.WAV,C03,2019-06-09,62787.835771000005
CHI,7012.4600000008195,3677,2233,6133.315000000641,vtc/1_CW1_CH1_AJ01_AJ16_190609_0_0.csv,1_CW1_CH1_AJ01_AJ16_190609.WAV,1_CW1_CH1_AJ01_AJ16_190609.WAV,C04,2019-06-09,59695.848333
FEM,10232.69500000128,5282,968,3466.296000000304,vtc/1_CW1_CH1_AJ01_AJ16_190609_0_0.csv,1_CW1_CH1_AJ01_AJ16_190609.WAV,1_CW1_CH1_AJ01_AJ16_190609.WAV,C04,2019-06-09,59695.848333
MAL,2349.1740000006384,1751,203,503.08300000012537,vtc/1_CW1_CH1_AJ01_AJ16_190609_0_0.csv,1_CW1_CH1_AJ01_AJ16_190609.WAV,1_CW1_CH1_AJ01_AJ16_190609.WAV,C04,2019-06-09,59695.848333
OCH,8446.871000001021,5415,1034,3989.0590000003444,vtc/1_CW1_CH1_AJ01_AJ16_190609_0_0.csv,1_CW1_CH1_AJ01_AJ16_190609.WAV,1_CW1_CH1_AJ01_AJ16_190609.WAV,C04,2019-06-09,59695.848333
CHI,7329.365000000495,4402,2475,6214.808000000365,vtc/1_CW2_CH2_AJ02_AJ04_190613_0_0.csv,1_CW2_CH2_AJ02_AJ04_190613.WAV,1_CW2_CH2_AJ02_AJ04_190613.WAV,C05,2019-06-13,65073.203
FEM,6669.082000000643,3879,673,2049.0970000001926,vtc/1_CW2_CH2_AJ02_AJ04_190613_0_0.csv,1_CW2_CH2_AJ02_AJ04_190613.WAV,1_CW2_CH2_AJ02_AJ04_190613.WAV,C05,2019-06-13,65073.203
MAL,3394.632000000696,2246,245,740.6880000001297,vtc/1_CW2_CH2_AJ02_AJ04_190613_0_0.csv,1_CW2_CH2_AJ02_AJ04_190613.WAV,1_CW2_CH2_AJ02_AJ04_190613.WAV,C05,2019-06-13,65073.203
OCH,7876.285000001328,5415,1545,5039.9680000006865,vtc/1_CW2_CH2_AJ02_AJ04_190613_0_0.csv,1_CW2_CH2_AJ02_AJ04_190613.WAV,1_CW2_CH2_AJ02_AJ04_190613.WAV,C05,2019-06-13,65073.203
CHI,6093.631000000265,3468,2089,5390.806000000178,vtc/1_CW1_CH1_AJ02_AJ08_190613_0_0.csv,1_CW1_CH1_AJ02_AJ08_190613.WAV,1_CW1_CH1_AJ02_AJ08_190613.WAV,C08,2019-06-13,25364.782625
FEM,5297.62800000061,3130,716,1854.8090000002646,vtc/1_CW1_CH1_AJ02_AJ08_190613_0_0.csv,1_CW1_CH1_AJ02_AJ08_190613.WAV,1_CW1_CH1_AJ02_AJ08_190613.WAV,C08,2019-06-13,25364.782625
MAL,3674.3910000000596,2002,345,1070.1690000000342,vtc/1_CW1_CH1_AJ02_AJ08_190613_0_0.csv,1_CW1_CH1_AJ02_AJ08_190613.WAV,1_CW1_CH1_AJ02_AJ08_190613.WAV,C08,2019-06-13,25364.782625
OCH,5305.087000000614,3589,1151,3495.4200000002675,vtc/1_CW1_CH1_AJ02_AJ08_190613_0_0.csv,1_CW1_CH1_AJ02_AJ08_190613.WAV,1_CW1_CH1_AJ02_AJ08_190613.WAV,C08,2019-06-13,25364.782625
CHI,5997.86500000054,3176,1709,4962.7000000004045,vtc/1_CW5_CH5_AJ02_AJ06_190613_0_0.csv,1_CW5_CH5_AJ02_AJ06_190613.WAV,1_CW5_CH5_AJ02_AJ06_190613.WAV,C09,2019-06-13,55848.47829199999
FEM,7193.332000000582,3381,706,2238.2730000001275,vtc/1_CW5_CH5_AJ02_AJ06_190613_0_0.csv,1_CW5_CH5_AJ02_AJ06_190613.WAV,1_CW5_CH5_AJ02_AJ06_190613.WAV,C09,2019-06-13,55848.47829199999
MAL,3041.9450000005872,1899,145,456.6490000000441,vtc/1_CW5_CH5_AJ02_AJ06_190613_0_0.csv,1_CW5_CH5_AJ02_AJ06_190613.WAV,1_CW5_CH5_AJ02_AJ06_190613.WAV,C09,2019-06-13,55848.47829199999
OCH,4558.866000000338,3222,1001,2720.4270000002534,vtc/1_CW5_CH5_AJ02_AJ06_190613_0_0.csv,1_CW5_CH5_AJ02_AJ06_190613.WAV,1_CW5_CH5_AJ02_AJ06_190613.WAV,C09,2019-06-13,55848.47829199999
CHI,8803.430000000837,3895,2093,7538.116000000786,vtc/1_CW3_CH3_AJ02_AJ37_190613_0_0.csv,1_CW3_CH3_AJ02_AJ37_190613.WAV,1_CW3_CH3_AJ02_AJ37_190613.WAV,C07,2019-06-13,57323.526
FEM,5673.911000001061,2672,614,2078.852000000432,vtc/1_CW3_CH3_AJ02_AJ37_190613_0_0.csv,1_CW3_CH3_AJ02_AJ37_190613.WAV,1_CW3_CH3_AJ02_AJ37_190613.WAV,C07,2019-06-13,57323.526
MAL,1854.0350000002684,1234,209,508.20300000008154,vtc/1_CW3_CH3_AJ02_AJ37_190613_0_0.csv,1_CW3_CH3_AJ02_AJ37_190613.WAV,1_CW3_CH3_AJ02_AJ37_190613.WAV,C07,2019-06-13,57323.526
OCH,6258.20500000121,4150,1400,4189.651000000549,vtc/1_CW3_CH3_AJ02_AJ37_190613_0_0.csv,1_CW3_CH3_AJ02_AJ37_190613.WAV,1_CW3_CH3_AJ02_AJ37_190613.WAV,C07,2019-06-13,57323.526
CHI,816.3390000000104,395,211,716.2780000000078,vtc/1_CW3_CH3_AJ03_AJ30_190616_0_0.csv,1_CW3_CH3_AJ03_AJ30_190616.WAV,1_CW3_CH3_AJ03_AJ30_190616.WAV,C11,2019-06-16,2707.046333
FEM,381.1520000000029,282,90,181.66100000000347,vtc/1_CW3_CH3_AJ03_AJ30_190616_0_0.csv,1_CW3_CH3_AJ03_AJ30_190616.WAV,1_CW3_CH3_AJ03_AJ30_190616.WAV,C11,2019-06-16,2707.046333
MAL,181.23900000000333,124,15,42.12700000000024,vtc/1_CW3_CH3_AJ03_AJ30_190616_0_0.csv,1_CW3_CH3_AJ03_AJ30_190616.WAV,1_CW3_CH3_AJ03_AJ30_190616.WAV,C11,2019-06-16,2707.046333
OCH,416.91700000000947,338,134,292.620000000003,vtc/1_CW3_CH3_AJ03_AJ30_190616_0_0.csv,1_CW3_CH3_AJ03_AJ30_190616.WAV,1_CW3_CH3_AJ03_AJ30_190616.WAV,C11,2019-06-16,2707.046333
CHI,6936.362000000827,3678,2047,6005.478000000692,vtc/1_CW1_CH1_AJ03_AJ35_190616_0_0.csv,1_CW1_CH1_AJ03_AJ35_190616.WAV,1_CW1_CH1_AJ03_AJ35_190616.WAV,C12,2019-06-16,41071.383167
FEM,7999.027000001297,4034,661,2107.4970000003823,vtc/1_CW1_CH1_AJ03_AJ35_190616_0_0.csv,1_CW1_CH1_AJ03_AJ35_190616.WAV,1_CW1_CH1_AJ03_AJ35_190616.WAV,C12,2019-06-16,41071.383167
MAL,2688.6600000004437,1960,141,403.3360000000826,vtc/1_CW1_CH1_AJ03_AJ35_190616_0_0.csv,1_CW1_CH1_AJ03_AJ35_190616.WAV,1_CW1_CH1_AJ03_AJ35_190616.WAV,C12,2019-06-16,41071.383167
OCH,7440.172000001089,4847,1376,4566.695000000706,vtc/1_CW1_CH1_AJ03_AJ35_190616_0_0.csv,1_CW1_CH1_AJ03_AJ35_190616.WAV,1_CW1_CH1_AJ03_AJ35_190616.WAV,C12,2019-06-16,41071.383167
FEM,0.521,1,0,0.0,vtc/1_CW4_CH4_AJ03_AJ34_190616_0_0.csv,1_CW4_CH4_AJ03_AJ34_190616.WAV,1_CW4_CH4_AJ03_AJ34_190616.WAV,C13,2019-06-16,6.782
MAL,6.763999999999999,1,0,0.0,vtc/1_CW4_CH4_AJ03_AJ34_190616_0_0.csv,1_CW4_CH4_AJ03_AJ34_190616.WAV,1_CW4_CH4_AJ03_AJ34_190616.WAV,C13,2019-06-16,6.782
CHI,9249.59900000072,5084,3180,8198.78900000048,vtc/1_CW5_CH5_AJ03_AJ23_190616_0_0.csv,1_CW5_CH5_AJ03_AJ23_190616.WAV,1_CW5_CH5_AJ03_AJ23_190616.WAV,C14,2019-06-16,53643.220313
FEM,11179.459000001458,5522,1535,4951.53900000061,vtc/1_CW5_CH5_AJ03_AJ23_190616_0_0.csv,1_CW5_CH5_AJ03_AJ23_190616.WAV,1_CW5_CH5_AJ03_AJ23_190616.WAV,C14,2019-06-16,53643.220313
MAL,3653.010000000511,2323,430,1226.8550000000912,vtc/1_CW5_CH5_AJ03_AJ23_190616_0_0.csv,1_CW5_CH5_AJ03_AJ23_190616.WAV,1_CW5_CH5_AJ03_AJ23_190616.WAV,C14,2019-06-16,53643.220313
OCH,6792.773000001705,4452,1248,4134.656000000912,vtc/1_CW5_CH5_AJ03_AJ23_190616_0_0.csv,1_CW5_CH5_AJ03_AJ23_190616.WAV,1_CW5_CH5_AJ03_AJ23_190616.WAV,C14,2019-06-16,53643.220313
